game_date,shirt_no,player_name,on_for,off_for
1975-02-14,11.0,Steve Woodin,,12.0
1975-02-14,12.0,Barrie Mitchell,11.0,
1975-02-22,9.0,Russell Allen,,12.0
1975-02-22,12.0,Tommy Veitch,9.0,
1975-02-28,4.0,Les Parry,,12.0
1975-02-28,12.0,Steve Woodin,4.0,
1975-03-21,6.0,Mark Palios,,12.0
1975-03-21,12.0,Steve Woodin,6.0,
1975-04-03,10.0,Barrie Mitchell,,12.0
1975-04-03,12.0,Mike McBurney,10.0,
1975-04-07,10.0,Steve Peplow,,12.0
1975-04-07,12.0,Russell Allen,10.0,
1975-04-12,11.0,Paul Crossley,,12.0
1975-04-12,12.0,Kit Fagan,11.0,
1975-04-18,12.0,Les Parry,10.0,
1975-04-18,10.0,Russell Allen,,12.0
1975-04-26,6.0,Mark Palios,,12.0
1975-04-26,12.0,Steve Peplow,6.0,
1975-05-07,10.0,Bobby Tynan,,12.0
1975-05-07,12.0,Billy Kenny,10.0,
1975-08-22,7.0,Steve Peplow,,12.0
1975-08-22,12.0,Paul Crossley,7.0,
1975-08-26,6.0,Mark Palios,,12.0
1975-08-26,12.0,Paul Crossley,6.0,
1975-08-29,11.0,Tommy Young,,12.0
1975-08-29,12.0,Russell Allen,11.0,
1975-09-02,6.0,Mark Palios,,12.0
1975-09-02,12.0,Steve Peplow,6.0,
1975-09-22,12.0,Russell Allen,10.0,
1975-09-22,10.0,Bobby Tynan,,12.0
1975-09-27,11.0,John James,,12.0
1975-09-27,12.0,Russell Allen,11.0,
1975-10-03,7.0,Steve Peplow,,12.0
1975-10-03,12.0,Mark Palios,7.0,
1975-10-18,10.0,Bobby Tynan,,12.0
1975-10-18,12.0,Billy Kenny,10.0,
1975-11-01,7.0,Steve Peplow,,12.0
1975-11-01,12.0,Billy Kenny,7.0,
1975-11-15,7.0,Steve Peplow,,12.0
1975-11-15,12.0,Billy Kenny,7.0,
1975-11-22,8.0,Barrie Mitchell,,12.0
1975-11-22,12.0,Billy Kenny,8.0,
1975-11-28,12.0,Barrie Mitchell,9.0,
1975-11-28,9.0,Ronnie Moore,,12.0
1975-12-13,11.0,John James,,12.0
1975-12-13,12.0,Bobby Tynan,11.0,
1975-12-27,10.0,Bobby Tynan,,12.0
1975-12-27,12.0,Billy Kenny,10.0,
1976-01-09,10.0,Bobby Tynan,,12.0
1976-01-09,12.0,Billy Kenny,10.0,
1976-01-17,6.0,Mark Palios,,12.0
1976-01-17,12.0,Billy Kenny,6.0,
1976-01-31,7.0,Steve Peplow,,12.0
1976-01-31,12.0,Tommy Young,7.0,
1976-02-24,11.0,John James,,12.0
1976-02-24,12.0,Billy Kenny,11.0,
1976-03-06,6.0,Mark Palios,,12.0
1976-03-06,12.0,Billy Kenny,6.0,
1976-03-12,12.0,Billy Kenny,6.0,
1976-03-12,6.0,Tommy Young,,12.0
1976-03-20,5.0,Dave Philpotts,,12.0
1976-03-20,12.0,Mark Palios,5.0,
1976-04-02,7.0,Steve Peplow,,12.0
1976-04-02,12.0,Billy Kenny,7.0,
1976-04-06,9.0,Ronnie Moore,,12.0
1976-04-06,12.0,Russell Allen,9.0,
1976-04-10,7.0,Steve Peplow,,12.0
1976-04-10,12.0,Russell Allen,7.0,
1976-04-26,10.0,John James,,12.0
1976-04-26,12.0,Tommy Young,10.0,
1976-08-27,11.0,John James,,12.0
1976-08-27,12.0,Mark Palios,11.0,
1976-09-07,12.0,Mark Palios,11.0,
1976-09-07,11.0,Russell Allen,,12.0
1976-09-18,8.0,Billy Kenny,,12.0
