game_date,player_name,goal_no,goal_min,added_time,penalty,own_goal
2022-01-22,Jay Spearing,1,65,0,0,0
2022-02-01,Kieron Morris,1,48,0,0,0
2022-02-05,Josh Hawkes,1,16,0,0,0
2022-02-08,Kane Hemmings,1,6,0,0,0
2022-02-08,Paul Glatzel,1,58,0,0,0
2022-02-08,Kane Hemmings,2,72,0,1,0
2022-02-19,Josh Hawkes,1,50,0,0,0
2022-02-26,Josh Dacres-Cogley,1,65,0,0,0
2022-02-26,Mickey Demetriou,1,84,0,0,1
2022-03-05,Joshua McPake,1,75,0,0,0
2022-03-05,Kane Hemmings,1,88,0,1,0
2022-03-11,Peter Clarke,1,5,0,0,0
2022-03-11,Elliott Nevitt,1,76,0,0,0
2022-03-11,Elliott Nevitt,2,90,5,0,0
2022-03-15,Lewis Warrington,1,49,0,0,0
2022-03-15,Kane Hemmings,1,65,0,1,0
2022-03-19,Josh Hawkes,1,68,0,0,0
2022-04-02,Kane Hemmings,1,15,0,0,0
2022-04-02,Elliott Nevitt,1,76,0,0,0
2022-04-09,Kane Hemmings,1,56,0,0,0
2022-04-15,Callum McManaman,1,89,0,0,0
2022-04-18,Josh Hawkes,1,39,0,0,0
2022-04-18,Elliott Nevitt,1,81,0,0,0
2022-04-30,Josh Hawkes,1,27,0,0,0
2022-04-30,Kane Hemmings,1,62,0,0,0
2022-05-07,Kane Hemmings,1,37,0,0,0
2022-07-30,Kane Hemmings,1,51,0,0,0
2022-09-13,Kane Hemmings,1,49,0,0,0
2022-09-17,Josh Hawkes,1,34,0,0,0
2022-10-01,Josh Hawkes,1,25,0,0,0
2022-12-10,Jake Burton,1,66,0,0,0
2022-12-26,Kane Hemmings,1,45,0,0,0
2022-12-26,Kieron Morris,1,59,0,0,0
2022-12-26,Paul Lewis,1,77,0,0,0
2022-12-29,Jordan Turnbull,1,6,0,0,0
2022-12-29,Kane Hemmings,1,82,0,0,0
2023-01-07,Josh Hawkes,1,39,0,0,0
2023-01-07,Kane Hemmings,1,58,0,0,0
2023-01-14,Josh Hawkes,1,78,0,0,0
2023-01-28,Omar Beckles,1,82,0,0,1
2023-02-04,Kane Hemmings,1,41,0,1,0
2023-02-04,Kieron Morris,1,84,0,0,0
2023-02-11,Kieron Morris,1,22,0,0,0
2023-02-25,Josh Hawkes,1,74,0,1,0
2023-02-28,Jordan Turnbull,1,68,0,0,0
2023-03-04,Josh Hawkes,1,68,0,1,0
2023-03-18,Regan Hendry,1,90,2,0,0
2023-03-25,Harvey Saunders,1,13,0,0,0
2023-03-31,Mark Oxley,1,36,0,0,1
