type,timeElapsed,addedTime,penalty,ownGoal,displayTime,first,full,abbreviation,last,score,halfTime,fullTime,extraTime,shootout,aggregate,aggregateGoalsAway,team,team_name,date,home_goal,away_goal,home_score,away_score,trfc_score,opp_score
goal,90,3,False,False,90'+3,Paul,Paul Lewis,Lewis,Lewis,2,0,2,,,,,awayTeam,Tranmere Rovers,2020-10-10T15:00:00+01:00,0,1,2,2,2,2
goal,25,0,False,False,25',Saikou,Saikou Janneh,Janneh,Janneh,1,1,1,,,,,homeTeam,Newport County,2020-10-17T15:00:00+01:00,1,0,1,0,0,1
goal,71,0,False,False,71',Danny,Danny Johnson,Johnson,Johnson,1,0,1,,,,,awayTeam,Leyton Orient,2020-10-20T19:00:00+01:00,0,1,0,1,1,1
goal,31,0,False,False,31',Peter,Peter Clarke,Clarke,Clarke,2,1,2,,,,,homeTeam,Tranmere Rovers,2020-10-24T15:00:00+01:00,1,0,1,0,1,0
goal,52,0,False,False,52',James,James Vaughan,Vaughan,Vaughan,2,1,2,,,,,homeTeam,Tranmere Rovers,2020-10-24T15:00:00+01:00,1,0,2,0,2,0
goal,13,0,False,False,13',Max,Max Watters,Watters,Watters,4,3,4,,,,,homeTeam,Crawley Town,2020-10-27T18:30:00+00:00,1,0,1,0,0,1
goal,21,0,False,False,21',Tom,Tom Nichols,Nichols,Nichols,4,3,4,,,,,homeTeam,Crawley Town,2020-10-27T18:30:00+00:00,1,0,2,0,0,2
goal,24,0,False,False,24',Jordan,Jordan Tunnicliffe,Tunnicliffe,Tunnicliffe,4,3,4,,,,,homeTeam,Crawley Town,2020-10-27T18:30:00+00:00,1,0,3,0,0,3
goal,77,0,False,False,77',Tyler,Tyler Frost,Frost,Frost,4,3,4,,,,,homeTeam,Crawley Town,2020-10-27T18:30:00+00:00,1,0,4,0,0,4
goal,57,0,True,False,57',Adam,Adam Phillips,Phillips,Phillips,1,0,1,,,,,awayTeam,Morecambe,2020-10-31T15:00:00+00:00,0,1,0,1,1,1
goal,79,0,False,False,79',Otis,Otis Khan,Khan,Khan,1,0,1,,,,,awayTeam,Tranmere Rovers,2020-11-03T19:00:00+00:00,0,1,0,1,1,1
goal,27,0,False,False,27',James,James Vaughan,Vaughan,Vaughan,1,1,1,,,,,awayTeam,Tranmere Rovers,2020-12-01T19:00:00+00:00,0,1,0,1,1,1
goal,19,0,False,False,19',Elijah,Elijah Adebayo,Adebayo,Adebayo,3,1,3,,,,,awayTeam,Walsall,2020-12-05T15:00:00+00:00,0,1,0,1,1,1
goal,31,0,False,False,31',Liam,Liam Feeney,Feeney,Feeney,1,1,1,,,,,homeTeam,Tranmere Rovers,2020-12-05T15:00:00+00:00,1,0,1,1,1,1
goal,48,0,False,False,48',Wesley,Wesley McDonald,McDonald,McDonald,3,1,3,,,,,awayTeam,Walsall,2020-12-05T15:00:00+00:00,0,1,1,2,2,2
goal,66,0,False,False,66',Dan,Dan Scarr,Scarr,Scarr,3,1,3,,,,,awayTeam,Walsall,2020-12-05T15:00:00+00:00,0,1,1,3,3,3
goal,59,0,False,False,59',Michal,Michal Helik,Helik,Helik,2,0,2,,,,,homeTeam,Barnsley,2021-01-10T13:30:00+00:00,1,0,1,0,0,1
goal,90,5,True,False,90'+5,Cauley,Cauley Woodrow,Woodrow,Woodrow,2,0,2,,,,,homeTeam,Barnsley,2021-01-10T13:30:00+00:00,1,0,2,0,0,2
goal,38,0,False,False,38',Daniel,Danny Lloyd,Lloyd-McGoldrick,Lloyd-McGoldrick,2,1,2,,,,,homeTeam,Tranmere Rovers,2021-02-02T19:00:00+00:00,1,0,1,0,1,0
goal,82,0,False,False,82',Paul,Paul Lewis,Lewis,Lewis,2,1,2,,,,,homeTeam,Tranmere Rovers,2021-02-02T19:00:00+00:00,1,0,2,0,2,0
goal,90,1,True,False,90'+1,Jonson,Jonson Clarke-Harris,Clarke-Harris,Clarke-Harris,1,0,1,,,,,awayTeam,Peterborough United,2021-02-02T19:00:00+00:00,0,1,2,1,1,1
goal,6,0,False,False,6',Liam,Liam Feeney,Feeney,Feeney,1,1,1,,,,,homeTeam,Tranmere Rovers,2021-03-02T19:00:00+00:00,1,0,1,0,1,0
goal,58,0,False,False,58',Tom,Tom Nichols,Nichols,Nichols,1,0,1,,,,,awayTeam,Crawley Town,2021-03-06T15:00:00+00:00,0,1,0,1,1,1
goal,8,0,False,False,8',Paul,Paul Lewis,Lewis,Lewis,2,2,2,,,,,awayTeam,Tranmere Rovers,2021-03-09T19:00:00+00:00,0,1,0,1,1,1
goal,24,0,False,False,24',George,George Ray,Ray,Ray,2,2,2,,,,,awayTeam,Tranmere Rovers,2021-03-09T19:00:00+00:00,0,1,0,2,2,2
goal,4,0,False,False,4',Conor,Conor Thomas,Thomas,Thomas,4,3,4,,,,,homeTeam,Cheltenham Town,2021-04-02T15:00:00+01:00,1,0,1,0,0,1
goal,14,0,False,False,14',William,William Boyle,Boyle,Boyle,4,3,4,,,,,homeTeam,Cheltenham Town,2021-04-02T15:00:00+01:00,1,0,2,0,0,2
goal,42,0,False,False,42',Alfie,Alfie May,May,May,4,3,4,,,,,homeTeam,Cheltenham Town,2021-04-02T15:00:00+01:00,1,0,3,0,0,3
goal,57,0,False,False,57',Callum,Callum Wright,Wright,Wright,4,3,4,,,,,homeTeam,Cheltenham Town,2021-04-02T15:00:00+01:00,1,0,4,0,0,4
goal,11,0,False,False,11',Paul,Paul Lewis,Lewis,Lewis,1,1,1,,,,,homeTeam,Tranmere Rovers,2021-04-05T15:00:00+01:00,1,0,1,0,1,0
goal,60,0,False,False,60',Paul,Paul Mullin,Mullin,Mullin,1,0,1,,,,,awayTeam,Cambridge United,2021-04-05T15:00:00+01:00,0,1,1,1,1,1
goal,70,0,False,False,70',Emmanuel,Emmanuel Osadebe,Osadebe,Osadebe,1,0,1,,,,,homeTeam,Walsall,2021-04-13T19:00:00+01:00,1,0,1,0,0,1
goal,45,1,False,True,45'+1,Paudie,Paudie O'Connor,O'Connor,O'Connor,1,1,1,,,,,awayTeam,Tranmere Rovers,2021-04-20T19:00:00+01:00,0,1,0,1,1,1
goal,66,0,False,False,66',David,David Nugent,Nugent,Nugent,1,0,1,,,,,homeTeam,Tranmere Rovers,2021-04-24T15:00:00+01:00,1,0,1,0,1,0
goal,50,0,False,False,50',Josh,Josh Davison,Davison,Davison,2,0,2,,,,,homeTeam,Forest Green Rovers,2021-05-01T15:00:00+01:00,1,0,1,0,0,1
goal,81,0,True,False,81',Aaron,Aaron Collins,Collins,Collins,2,0,2,,,,,homeTeam,Forest Green Rovers,2021-05-01T15:00:00+01:00,1,0,2,0,0,2
goal,90,6,False,False,90'+6,Kieron,Kieron Morris,Morris,Morris,1,0,1,,,,,awayTeam,Tranmere Rovers,2021-05-01T15:00:00+01:00,0,1,2,1,1,1
goal,73,0,False,False,73',Callum,Callum McManaman,McManaman,McManaman,1,0,1,,,,,homeTeam,Tranmere Rovers,2021-08-07T15:00:00+01:00,1,0,1,0,1,0
goal,89,0,False,False,89',Tom,Tom Davies,Davies,Davies,1,0,1,,,,,homeTeam,Tranmere Rovers,2021-09-04T15:00:00+01:00,1,0,1,0,1,0
goal,84,0,False,False,84',Danny,Danny Cashman,Cashman,Cashman,1,0,1,,,,,homeTeam,Rochdale,2021-09-11T15:00:00+01:00,1,0,1,0,0,1
goal,28,0,False,False,28',Peter,Peter Clarke,Clarke,Clarke,2,1,2,,,,,homeTeam,Tranmere Rovers,2021-10-02T15:00:00+01:00,1,0,1,0,1,0
goal,64,0,False,False,64',Kwesi,Kwesi Appiah,Appiah,Appiah,1,0,1,,,,,awayTeam,Crawley Town,2021-10-02T15:00:00+01:00,0,1,1,1,1,1
goal,79,0,False,False,79',Peter,Peter Clarke,Clarke,Clarke,2,1,2,,,,,homeTeam,Tranmere Rovers,2021-10-02T15:00:00+01:00,1,0,2,1,2,1
