game_date,player_name,goal_no,goal_min,added_time,penalty,own_goal
2023-08-19,Callum Hendry,3,85,0,0,0
2023-08-26,David McGoldrick,1,12,0,0,0
2023-08-26,Connell Rawlinson,1,65,0,0,0
2023-08-29,Wilfred Ndidi,1,55,0,0,0
2023-08-29,Jamie Vardy,1,59,0,0,0
2023-09-02,Aaron Hayden,1,56,0,0,0
2023-09-05,Jayden Stockley,1,73,0,1,0
2023-09-05,Phoenix Patterson,1,82,0,0,0
2023-09-09,Joseph Taylor,1,11,0,0,0
2023-09-09,Bradley Ihionvien,1,87,0,0,0
2023-09-16,Ronan Darcy,1,61,0,0,0
2023-09-16,Nicholas Tsaroulla,1,68,0,0,0
2023-09-16,Klaidi Lolos,1,90,6,0,0
2023-09-30,Armani Little,1,21,0,0,0
2023-09-30,Ali Al Hamadi,1,32,0,0,0
2023-09-30,Ali Al Hamadi,2,62,0,0,0
2023-09-30,Ali Al Hamadi,3,88,0,0,0
2023-10-03,Andy Cook,1,55,0,0,0
2023-10-07,Danny Rose,1,27,0,0,0
2023-10-07,Rekeil Pyke,1,44,0,0,0
2023-10-10,Silko Thomas,1,9,0,0,0
2023-10-14,Mickey Demetriou,1,11,0,0,0
2023-10-14,Chris Long,1,52,0,0,0
2023-10-20,Harrison Biggins,1,27,0,0,0
2023-10-20,Mo Faal,1,57,0,0,0
2023-10-24,Jordan Turnbull,1,72,0,0,1
2023-10-28,Isaac Olaofe,1,5,0,0,0
2023-10-28,Antoni Sarcevic,1,54,0,0,0
2023-11-04,Jordan Roberts,1,3,0,0,0
2023-11-04,Jamie Reid,1,58,0,1,0
2023-11-04,Kane Hemmings,1,81,0,0,0
2023-11-04,Jamie Reid,2,90,10,0,0
2023-11-18,Louis John,1,88,0,0,0
2023-11-25,Connor Mahoney,1,90,1,0,0
2023-11-28,Rhys Oates,1,37,0,0,0
2023-11-28,Will Swan,1,79,0,0,0
2023-12-09,Will Evans,1,22,0,0,0
2023-12-16,Jamille Matt,1,64,0,0,0
2023-12-23,Daniel Kemp,1,22,0,0,0
2023-12-26,Matthew Lund,1,55,0,0,0
2024-01-01,Aaron Nemane,1,24,0,0,0
2024-01-01,Macaulay Langstaff,1,29,0,0,0
2024-01-06,Dean Campbell,1,80,0,0,0
2024-01-13,Alex Gilbey,1,9,0,0,0
2024-01-13,Ellis Harrison,1,90,6,0,0
2024-01-27,Doug Tharme,1,39,0,0,0
2024-02-10,Joe Ironside,1,15,0,0,0
2024-02-10,Hakeeb Adelakun,1,64,0,0,0
2024-02-13,Charlie Brown,1,14,0,0,0
2024-02-13,Jordan Slew,1,82,0,0,0
2024-02-13,Jacob Davenport,1,90,5,0,0
2024-02-24,Charlie McCann,1,45,1,0,0
2024-02-27,Sean McGurk,1,23,0,0,0
2024-02-27,Rushian Hepburn-Murphy,1,35,0,0,0
2024-02-27,Rushian Hepburn-Murphy,2,64,0,0,0
2024-03-09,Conor Masterson,1,84,0,0,0
2024-03-12,Will Swan,1,39,0,0,0
2024-03-23,Jeremy Kelly,1,2,0,0,0
2024-03-23,Jay Williams,1,10,0,0,0
2024-03-23,Danilo Orsi,1,79,0,0,0
2024-03-29,Calum Kavanagh,1,64,0,0,0
2024-03-29,Bobby Pointon,1,69,0,0,0
2024-04-01,Alistair Smith,1,8,0,0,0
2024-04-06,Jamille Matt,1,45,2,0,0
2024-04-06,Taylor Allen,1,57,0,0,0
2024-04-06,Brandon Comley,1,68,0,0,0
2024-04-13,Will Evans,1,20,0,0,0
2024-04-20,Josh Kelly,1,56,0,0,0
2024-04-20,Josh Kelly,2,90,5,0,0
2024-04-27,Lewis Shipley,1,4,0,0,0
2024-04-27,Jack Nolan,1,51,0,1,0
2024-04-27,Alex Henderson,1,53,0,0,0
2024-04-27,Jack Nolan,2,82,0,1,0
2024-08-20,Beto,1,86,0,0,0
2024-08-20,Beto,2,90,2,0,0
2024-08-20,Martin Sherif,1,90,5,0,0
2024-08-27,Jordan Ayew,1,38,0,0,0
2024-08-27,Stephy Mavididi,1,51,0,1,0
2024-08-27,Wilfred Ndidi,1,71,0,0,0
2024-08-27,Harry Winks,1,90,0,0,0
