game_date,player_name,card_min,card_inj_time
2017-04-22,James Wallace,35,0
2017-04-29,Jack Flemming,76,0
2017-04-29,Luke Pilling,85,0
2017-05-03,Lois Maynard,82,0
2017-05-03,James Wallace,90,0
2017-05-06,James Norwood,74,0
2017-05-14,Adam Buxton,63,0
2017-08-05,Steve McNulty,20,0
2017-08-05,Adam Buxton,84,0
2017-08-12,Andy Cook,62,0
2017-08-15,Oliver Norburn,76,0
2017-08-15,Connor Jennings,78,0
2017-08-19,Andy Cook,36,0
2017-08-19,Adam Buxton,68,0
2017-08-26,Steve McNulty,52,0
2017-08-26,Andy Cook,75,0
2017-08-26,Oliver Norburn,77,0
2017-08-26,Andy Mangan,90,1
2017-08-28,Jay Harris,51,0
2017-09-02,Steve McNulty,39,0
2017-09-02,James Norwood,73,0
2017-09-02,James McEveley,77,0
2017-09-09,James Norwood,28,0
2017-09-09,Andy Cook,43,0
2017-09-12,Jeff Hughes,45,0
2017-09-12,Jay Harris,84,0
2017-09-16,James McEveley,27,0
2017-09-16,Jay Harris,63,0
2017-09-16,Connor Jennings,82,0
2017-09-16,Scott Davies,87,0
2017-09-23,Connor Jennings,4,0
2017-09-23,Andy Cook,70,0
2017-09-30,Adam Buxton,30,0
2017-09-30,Connor Jennings,76,0
2017-10-04,Oliver Norburn,32,0
2017-10-04,Jeff Hughes,58,0
2017-10-04,Dylan Mottley-Henry,66,0
2017-10-04,Ritchie Sutton,84,0
2017-10-07,James Norwood,24,0
2017-10-21,Jay Harris,51,0
2017-10-21,Steve McNulty,52,0
2017-10-21,Mitch Duggan,69,0
2017-10-21,Scott Davies,74,0
2017-10-24,Steve McNulty,1,0
2017-10-28,Mitch Duggan,64,0
2017-10-28,Gerry McDonagh,80,0
2017-10-28,Jay Harris,82,0
2017-11-04,James McEveley,51,0
2017-11-04,Jeff Hughes,81,0
2017-11-15,Connor Jennings,39,0
2017-11-15,James Norwood,66,0
2017-11-21,Steve McNulty,66,0
2017-11-21,Dylan Mottley-Henry,73,0
2017-11-25,Eddie Clarke,62,0
